file,symbol,quote,timeframe,rows,first_date,last_date,exact_source_panel_symbol,status,reason
/Users/thrill3r/Auto-Quant/user_data/data/AAPL_USD-1d.feather,AAPL,USD,1d,744,2023-01-03,2025-12-30,True,exact_source_panel_symbol,Can attach source-panel parent-day labels only where bar date equals source date; no new source-owned label is created.
/Users/thrill3r/Auto-Quant/user_data/data/AVAX_USDT-1d.feather,AVAX,USDT,1d,1939,2021-01-01,2026-04-23,False,blocked_no_source_panel_label,Local Auto-Quant cache is OHLCV/provider data only for this symbol; no source-owned MainRegimeV2 label or equivalence policy is present.
/Users/thrill3r/Auto-Quant/user_data/data/AVAX_USDT-1h.feather,AVAX,USDT,1h,44503,2021-01-01,2026-01-29,False,blocked_no_source_panel_label,Local Auto-Quant cache is OHLCV/provider data only for this symbol; no source-owned MainRegimeV2 label or equivalence policy is present.
/Users/thrill3r/Auto-Quant/user_data/data/AVAX_USDT-4h.feather,AVAX,USDT,4h,11377,2021-01-01,2026-03-12,False,blocked_no_source_panel_label,Local Auto-Quant cache is OHLCV/provider data only for this symbol; no source-owned MainRegimeV2 label or equivalence policy is present.
/Users/thrill3r/Auto-Quant/user_data/data/BNB_USDT-1d.feather,BNB,USDT,1d,1939,2021-01-01,2026-04-23,False,blocked_no_source_panel_label,Local Auto-Quant cache is OHLCV/provider data only for this symbol; no source-owned MainRegimeV2 label or equivalence policy is present.
/Users/thrill3r/Auto-Quant/user_data/data/BNB_USDT-1h.feather,BNB,USDT,1h,44504,2021-01-01,2026-01-29,False,blocked_no_source_panel_label,Local Auto-Quant cache is OHLCV/provider data only for this symbol; no source-owned MainRegimeV2 label or equivalence policy is present.
/Users/thrill3r/Auto-Quant/user_data/data/BNB_USDT-4h.feather,BNB,USDT,4h,11377,2021-01-01,2026-03-12,False,blocked_no_source_panel_label,Local Auto-Quant cache is OHLCV/provider data only for this symbol; no source-owned MainRegimeV2 label or equivalence policy is present.
/Users/thrill3r/Auto-Quant/user_data/data/BTCY_USD-1d.feather,BTCY,USD,1d,1032,2023-01-01,2025-12-31,False,blocked_no_source_panel_label,Local Auto-Quant cache is OHLCV/provider data only for this symbol; no source-owned MainRegimeV2 label or equivalence policy is present.
/Users/thrill3r/Auto-Quant/user_data/data/BTC_USDT-1d.feather,BTC,USDT,1d,1939,2021-01-01,2026-04-23,False,blocked_no_source_panel_label,Local Auto-Quant cache is OHLCV/provider data only for this symbol; no source-owned MainRegimeV2 label or equivalence policy is present.
/Users/thrill3r/Auto-Quant/user_data/data/BTC_USDT-1h.feather,BTC,USDT,1h,44504,2021-01-01,2026-01-29,False,blocked_no_source_panel_label,Local Auto-Quant cache is OHLCV/provider data only for this symbol; no source-owned MainRegimeV2 label or equivalence policy is present.
/Users/thrill3r/Auto-Quant/user_data/data/BTC_USDT-4h.feather,BTC,USDT,4h,11377,2021-01-01,2026-03-12,False,blocked_no_source_panel_label,Local Auto-Quant cache is OHLCV/provider data only for this symbol; no source-owned MainRegimeV2 label or equivalence policy is present.
/Users/thrill3r/Auto-Quant/user_data/data/DIA_USD-15m.feather,DIA,USD,15m,6490,2025-05-07,2026-05-06,False,blocked_no_source_panel_label,Local Auto-Quant cache is OHLCV/provider data only for this symbol; no source-owned MainRegimeV2 label or equivalence policy is present.
/Users/thrill3r/Auto-Quant/user_data/data/DIA_USD-1h.feather,DIA,USD,1h,1746,2025-05-07,2026-05-06,False,blocked_no_source_panel_label,Local Auto-Quant cache is OHLCV/provider data only for this symbol; no source-owned MainRegimeV2 label or equivalence policy is present.
/Users/thrill3r/Auto-Quant/user_data/data/DIA_USD-4h.feather,DIA,USD,4h,585,2025-05-07,2026-05-06,False,blocked_no_source_panel_label,Local Auto-Quant cache is OHLCV/provider data only for this symbol; no source-owned MainRegimeV2 label or equivalence policy is present.
/Users/thrill3r/Auto-Quant/user_data/data/ES_USD-1d.feather,ES,USD,1d,746,2023-01-03,2025-12-30,False,blocked_no_source_panel_label,Local Auto-Quant cache is OHLCV/provider data only for this symbol; no source-owned MainRegimeV2 label or equivalence policy is present.
/Users/thrill3r/Auto-Quant/user_data/data/ETH_USDT-1d.feather,ETH,USDT,1d,1939,2021-01-01,2026-04-23,False,blocked_no_source_panel_label,Local Auto-Quant cache is OHLCV/provider data only for this symbol; no source-owned MainRegimeV2 label or equivalence policy is present.
/Users/thrill3r/Auto-Quant/user_data/data/ETH_USDT-1h.feather,ETH,USDT,1h,44504,2021-01-01,2026-01-29,False,blocked_no_source_panel_label,Local Auto-Quant cache is OHLCV/provider data only for this symbol; no source-owned MainRegimeV2 label or equivalence policy is present.
/Users/thrill3r/Auto-Quant/user_data/data/ETH_USDT-4h.feather,ETH,USDT,4h,11377,2021-01-01,2026-03-12,False,blocked_no_source_panel_label,Local Auto-Quant cache is OHLCV/provider data only for this symbol; no source-owned MainRegimeV2 label or equivalence policy is present.
/Users/thrill3r/Auto-Quant/user_data/data/EUR_USD-1d.feather,EUR,USD,1d,757,2023-01-02,2025-12-31,False,blocked_no_source_panel_label,Local Auto-Quant cache is OHLCV/provider data only for this symbol; no source-owned MainRegimeV2 label or equivalence policy is present.
/Users/thrill3r/Auto-Quant/user_data/data/GLD_USD-15m.feather,GLD,USD,15m,6487,2025-05-07,2026-05-06,False,blocked_no_source_panel_label,Local Auto-Quant cache is OHLCV/provider data only for this symbol; no source-owned MainRegimeV2 label or equivalence policy is present.
/Users/thrill3r/Auto-Quant/user_data/data/GLD_USD-1h.feather,GLD,USD,1h,1742,2025-05-07,2026-05-06,False,blocked_no_source_panel_label,Local Auto-Quant cache is OHLCV/provider data only for this symbol; no source-owned MainRegimeV2 label or equivalence policy is present.
