path,realpath,suffix,name_hint,provenance_hint,hit_MainRegimeV2,hit_main_regime_v2,hit_mainregimev2,hit_2026-01-30,rows,post_cutoff_rows,limited,regime_cols,date_cols
/Users/thrill3r/Auto-Quant/user_data/data/raw/kraken_AAPLx_1d.csv,/Users/thrill3r/Auto-Quant/user_data/data/raw/kraken_AAPLx_1d.csv,.csv,False,False,False,False,False,True,256,0,False,[],['date']
/Users/thrill3r/Auto-Quant/user_data/data/raw/kraken_EURUSD_1d.csv,/Users/thrill3r/Auto-Quant/user_data/data/raw/kraken_EURUSD_1d.csv,.csv,False,False,False,False,False,True,721,0,False,[],['date']
/Users/thrill3r/Auto-Quant/user_data/data/raw/kraken_SPYx_1d.csv,/Users/thrill3r/Auto-Quant/user_data/data/raw/kraken_SPYx_1d.csv,.csv,False,False,False,False,False,True,256,0,False,[],['date']
/Users/thrill3r/Auto-Quant/user_data/data/raw/kraken_XBTUSD_1d.csv,/Users/thrill3r/Auto-Quant/user_data/data/raw/kraken_XBTUSD_1d.csv,.csv,False,False,False,False,False,True,721,0,False,[],['date']
/Users/thrill3r/projects-ict-engine/ict-engine/docs/plans/2026-05-09-regime-classifier-r5-handoff-todo.md,/Users/thrill3r/projects-ict-engine/ict-engine/docs/plans/2026-05-09-regime-classifier-r5-handoff-todo.md,.md,True,False,False,False,False,False,,,,,
/Users/thrill3r/projects-ict-engine/ict-engine/docs/plans/2026-05-10-actionable-regime-confidence-todo.md,/Users/thrill3r/projects-ict-engine/ict-engine/docs/plans/2026-05-10-actionable-regime-confidence-todo.md,.md,False,False,True,True,True,True,,,,,
/Users/thrill3r/projects-ict-engine/ict-engine/docs/plans/2026-05-10-regime-conditional-auto-quant-profitability-todo.md,/Users/thrill3r/projects-ict-engine/ict-engine/docs/plans/2026-05-10-regime-conditional-auto-quant-profitability-todo.md,.md,False,False,True,True,True,True,,,,,
/Users/thrill3r/projects-ict-engine/ict-engine/state/CL/analyze_live_20260413T142519_h4.json,/Users/thrill3r/projects-ict-engine/ict-engine/state/CL/analyze_live_20260413T142519_h4.json,.json,False,False,False,False,False,True,,,,,
/Users/thrill3r/projects-ict-engine/ict-engine/state/CL/analyze_live_20260413T142519_htf.json,/Users/thrill3r/projects-ict-engine/ict-engine/state/CL/analyze_live_20260413T142519_htf.json,.json,False,False,False,False,False,True,,,,,
/Users/thrill3r/projects-ict-engine/ict-engine/state/CL/analyze_live_20260413T142519_mtf.json,/Users/thrill3r/projects-ict-engine/ict-engine/state/CL/analyze_live_20260413T142519_mtf.json,.json,False,False,False,False,False,True,,,,,
/Users/thrill3r/projects-ict-engine/ict-engine/state/CL/analyze_live_20260413T143356_h4.json,/Users/thrill3r/projects-ict-engine/ict-engine/state/CL/analyze_live_20260413T143356_h4.json,.json,False,False,False,False,False,True,,,,,
/Users/thrill3r/projects-ict-engine/ict-engine/state/CL/analyze_live_20260413T143356_htf.json,/Users/thrill3r/projects-ict-engine/ict-engine/state/CL/analyze_live_20260413T143356_htf.json,.json,False,False,False,False,False,True,,,,,
/Users/thrill3r/projects-ict-engine/ict-engine/state/CL/analyze_live_20260413T143356_mtf.json,/Users/thrill3r/projects-ict-engine/ict-engine/state/CL/analyze_live_20260413T143356_mtf.json,.json,False,False,False,False,False,True,,,,,
/Users/thrill3r/projects-ict-engine/ict-engine/state/CL/analyze_live_20260413T160132_h4.json,/Users/thrill3r/projects-ict-engine/ict-engine/state/CL/analyze_live_20260413T160132_h4.json,.json,False,False,False,False,False,True,,,,,
/Users/thrill3r/projects-ict-engine/ict-engine/state/CL/analyze_live_20260413T160132_htf.json,/Users/thrill3r/projects-ict-engine/ict-engine/state/CL/analyze_live_20260413T160132_htf.json,.json,False,False,False,False,False,True,,,,,
/Users/thrill3r/projects-ict-engine/ict-engine/state/CL/analyze_live_20260413T160132_mtf.json,/Users/thrill3r/projects-ict-engine/ict-engine/state/CL/analyze_live_20260413T160132_mtf.json,.json,False,False,False,False,False,True,,,,,
