group,path,disposition,reason,promotable_new_rows
direct_pump_dump_raw_windows,/tmp/ict-regime-kamps-pump-dump/__MACOSX/data/kraken/._kraken_BCH-BTC_[2018-04-20 01.00.00]-TO-[2018-05-10 00.00.00].csv,raw_or_event_window_pump_dump_not_missing_species,Raw/event-window crypto pump/dump files are not source-owned rows for the missing direct manipulation species and do not provide spoofing/layering controls.,0
direct_pump_dump_raw_windows,/tmp/ict-regime-kamps-pump-dump/data/binance/binance_ADA-BNB_[2018-04-20 00.00.00]-TO-[2018-05-09 23.00.00].csv,raw_or_event_window_pump_dump_not_missing_species,Raw/event-window crypto pump/dump files are not source-owned rows for the missing direct manipulation species and do not provide spoofing/layering controls.,0
direct_pump_dump_raw_windows,/tmp/ict-regime-kamps-pump-dump/data/binance/binance_ADA-BTC_[2018-04-20 00.00.00]-TO-[2018-05-09 23.00.00].csv,raw_or_event_window_pump_dump_not_missing_species,Raw/event-window crypto pump/dump files are not source-owned rows for the missing direct manipulation species and do not provide spoofing/layering controls.,0
direct_pump_dump_raw_windows,/tmp/ict-regime-kamps-pump-dump/data/binance/binance_ADA-ETH_[2018-04-20 00.00.00]-TO-[2018-05-09 23.00.00].csv,raw_or_event_window_pump_dump_not_missing_species,Raw/event-window crypto pump/dump files are not source-owned rows for the missing direct manipulation species and do not provide spoofing/layering controls.,0
direct_pump_dump_raw_windows,/tmp/ict-regime-kamps-pump-dump/data/binance/binance_ADA-USDT_[2018-04-20 00.00.00]-TO-[2018-05-09 23.00.00].csv,raw_or_event_window_pump_dump_not_missing_species,Raw/event-window crypto pump/dump files are not source-owned rows for the missing direct manipulation species and do not provide spoofing/layering controls.,0
direct_pump_dump_raw_windows,/tmp/ict-regime-kamps-pump-dump/data/binance/binance_ADX-BNB_[2018-04-20 00.00.00]-TO-[2018-05-09 23.00.00].csv,raw_or_event_window_pump_dump_not_missing_species,Raw/event-window crypto pump/dump files are not source-owned rows for the missing direct manipulation species and do not provide spoofing/layering controls.,0
direct_pump_dump_raw_windows,/tmp/ict-regime-kamps-pump-dump/data/binance/binance_ADX-BTC_[2018-04-20 00.00.00]-TO-[2018-05-09 23.00.00].csv,raw_or_event_window_pump_dump_not_missing_species,Raw/event-window crypto pump/dump files are not source-owned rows for the missing direct manipulation species and do not provide spoofing/layering controls.,0
direct_pump_dump_raw_windows,/tmp/ict-regime-kamps-pump-dump/data/binance/binance_ADX-ETH_[2018-04-20 00.00.00]-TO-[2018-05-09 23.00.00].csv,raw_or_event_window_pump_dump_not_missing_species,Raw/event-window crypto pump/dump files are not source-owned rows for the missing direct manipulation species and do not provide spoofing/layering controls.,0
direct_pump_dump_raw_windows,/tmp/ict-regime-kamps-pump-dump/data/binance/binance_AE-BNB_[2018-04-20 00.00.00]-TO-[2018-05-09 23.00.00].csv,raw_or_event_window_pump_dump_not_missing_species,Raw/event-window crypto pump/dump files are not source-owned rows for the missing direct manipulation species and do not provide spoofing/layering controls.,0
direct_pump_dump_raw_windows,/tmp/ict-regime-kamps-pump-dump/data/binance/binance_AE-BTC_[2018-04-20 00.00.00]-TO-[2018-05-09 23.00.00].csv,raw_or_event_window_pump_dump_not_missing_species,Raw/event-window crypto pump/dump files are not source-owned rows for the missing direct manipulation species and do not provide spoofing/layering controls.,0
direct_pump_dump_raw_windows,/tmp/ict-regime-kamps-pump-dump/data/binance/binance_AE-ETH_[2018-04-20 00.00.00]-TO-[2018-05-09 23.00.00].csv,raw_or_event_window_pump_dump_not_missing_species,Raw/event-window crypto pump/dump files are not source-owned rows for the missing direct manipulation species and do not provide spoofing/layering controls.,0
direct_pump_dump_raw_windows,/tmp/ict-regime-kamps-pump-dump/data/binance/binance_AION-BNB_[2018-04-20 00.00.00]-TO-[2018-05-09 23.00.00].csv,raw_or_event_window_pump_dump_not_missing_species,Raw/event-window crypto pump/dump files are not source-owned rows for the missing direct manipulation species and do not provide spoofing/layering controls.,0
